Action,692B
Initialisation_SKU_Config_mem,D:\Program\Dyson_X692_Airwatt_Tester_EOL_Program\data\SKU_Config_692B_v2.0_06-71c1710.mem
Initialisation_Flashing_Mode,SPC
Initialisation_Product_Mode,EVT4
Initialisation_DDM_Firmware_Hex,
Initialisation_DDM_Firmware_bin,D:\Program\Dyson_X692_Airwatt_Tester_EOL_Program\data\DDM_SP.07.03.011.0218_encrypted.bin
Initialisation_Flashing_wait_time,90
Initialisation_SKU_Config_Hex,D:\Program\Dyson_X692_Airwatt_Tester_EOL_Program\data\SKU_Config_692B_v2.0_06-71c1710.mem
Initialisation_SKU_ID,682
Calibrate_BEMF_Orifice_size,13
Calibrate_BEMF_Calibration_Type,Both
Power_Tunings&AW_Performance_Airwatts_Calculation_Formula_for_all_mode,ASTM
ECO_MODE_Orifice_size,12.7
ECO_MODE_Drive_mode,ECO
ECO_MODE_Stabilisation_time,8
BOOST_MODE_Orifice_size,12.7
BOOST_MODE_Drive_mode,B2
BOOST_MODE_Stabilisation_time,8
MAX_POWER_MODE_Orifice_size,12.7
MAX_POWER_MODE_Drive_mode,B1
MAX_POWER_MODE_Stabilisation_time,8
MAX_POWER_MODE_Average_Delta_Tmag_Time,5
MAX_POWER_MODE_LSI_Delta_Tmag_Error,10
MAX_POWER_MODE_LSI_Large_Delta_Tmag_Percentage,100
MAX_POWER_MODE_LSI_Small_Delta_Tmag_Percentage,100
MAX_POWER_MODE_AW_Tune_Extra,2
MAX_POWER_MODE_AW_Tune_Correction_Factor,0.9898
MAX_POWER_MODE_Delta_P1_Limit,27
MAX_POWER_MODE_AW_Finetune_Extra ,0
MAX_POWER_MODE_AW_Finetune_Correction_Factor,1
MAX_POWER_MODE_Delta_P2_Limit,27
MAX_POWER_MODE_AW_Tune_P_Extra,0
MAX_POWER_MODE_Stabilisation_Time_2(After_AW_Finetune) ,8
Low_Power_Low_Restriction_Orifice_Size,30
Low_Power_Low_Restriction_Drive_Mode,A2
Low_Power_Low_Restriction_Stabilisation_Time,10
High_Power_Low_Restriction_Orifice_Size,30
High_Power_Low_Restriction_Drive_Mode,B2
High_Power_Low_Restriction_Stabilisation_Time,10
Low_Power_High_Restriction _Orifice_Size,16
Low_Power_High_Restriction_Drive_Mode,A2
Low_Power_High_Restriction_Stabilisation_Time,10
High_Power_High_Restriction_Orifice_Size,16
High_Power_High_Restriction_Drive_Mode,B2
High_Power_High_Restriction_Stabilisation_Time,10
Inlet_Blockage_Calibration_Orifice_size,16
Inlet_Blockage_Calibration_Target_Power,660000
Inlet_Blockage_Calibration_Stabilisation_Time,3
